id,dt,car_value,loan_amount,ltv,term_meses,taxa_mensal,parcela_mensal,pti,idade,renda_mensal,score_interno,utilizacao_limite,atraso_antes_30d,atraso_antes_60d,canal,pd_proxy,risk_band,cluster_true
1,2022-02-01,34993.03103414031,29648.40872297491,0.789022939889143,36,0.008,1013.3167247985647,0.18201836134367608,37,5567.112665547413,767,0.15153099866299033,0,0,digital,0.00032527540811585007,baixo,A
2,2022-10-01,99674.79483797317,94691.32623431746,0.9469597832165582,36,0.01004442390263999,3391.210474100457,0.6119283810674541,52,5541.84211587767,706,0.7316518685832286,0,0,agencia,0.005582436846837367,baixo,B
3,2024-06-01,25780.824248370904,20676.867214085873,0.7986161130924635,24,0.008647565771953986,1004.579789273658,0.16862776021906373,34,5957.380848613609,803,0.5384008523881404,0,0,agencia,0.0003175171754398005,baixo,A
4,2024-10-01,156360.46714356466,150306.01851956474,0.9811361166290526,48,0.008,4093.33390434948,0.13644446347831599,47,30000.0,785,0.6696325226679107,0,0,parceiro,0.0012595574941958274,baixo,C
5,2024-08-01,68986.87317542885,61145.52293102354,0.8337629983069418,24,0.008,2939.0614688845317,0.6187667441964265,28,4749.869795768357,797,0.03569428641654553,0,0,digital,0.0007664812657790432,baixo,A
6,2024-01-01,116629.78609116179,109110.86331922634,0.9401104020302807,60,0.019981643043018638,3562.685847022073,0.8,38,4177.717812797946,566,0.5322168927577167,0,0,agencia,0.0984840053738692,alto,D
7,2024-07-01,57131.33101320868,53322.515390925364,0.9147453961588133,60,0.009695802228354956,1302.3122406878165,0.12580806435934147,37,10351.579982727217,638,0.4553925280937368,0,0,digital,0.0020724932597376154,baixo,B
8,2023-09-01,103432.27301710355,111476.8947045571,1.0929241373317218,48,0.019059253251375825,4022.168400625828,0.3708951664248218,39,10844.488590662442,790,0.7036202798227672,1,0,agencia,0.012821236859941616,baixo,C
9,2023-10-01,54488.75608491715,46171.248360681006,0.7975435770215855,36,0.008,1578.030666193942,0.2637527177766686,25,5982.993007602417,849,0.3855456454201356,0,0,digital,0.0002856768597980777,baixo,A
10,2022-07-01,50029.76799122797,41584.8920913578,0.8412963344963801,60,0.008161814169884837,964.608064075464,0.16934982752062025,43,5695.9494922308795,716,0.5139475328222907,0,0,digital,0.0008590382698341316,baixo,B
11,2023-06-01,45952.694321657415,40216.76087284647,0.8566303643582674,36,0.011012178858515131,1471.4315775414923,0.2184128799988741,39,6736.926767089365,648,0.35679343335114344,0,0,digital,0.0014080891993982362,baixo,B
12,2022-12-01,49719.662444207876,40356.32484315852,0.806752340300731,24,0.008,1939.7940141278195,0.43700439392525864,29,4438.843272728248,780,0.5441121255808352,0,0,digital,0.0005621462907507884,baixo,A
13,2022-08-01,67200.32166607569,49398.791216489255,0.7230507155518511,48,0.008,1345.2937474623907,0.3127762314614568,35,4301.138041009265,773,0.02521336894909257,0,0,digital,0.0003205879849897141,baixo,A
